Date,7exp
1/30/19,1310.607794
1/31/19,1323.24106
2002/1/19,1318.660992
2002/4/19,1312.067822
2002/5/19,1314.131466
2002/6/19,1312.319737
2002/7/19,1309.904105
2002/8/19,1314.786066
2002/11/19,1306.280851
2002/12/19,1309.904575
2/13/19,1312.723002
2/14/19,1311.364332
2/15/19,1316.497642
2/18/19,1325.505844
2/19/19,1334.211912
2/20/19,1343.873948
2/21/19,1331.292973
2/22/19,1329.07871
2/25/19,1331.091546
2/26/19,1325.052894
2/27/19,1322.838764
2/28/19,1319.115064
2003/1/19,1311.86904
2003/4/19,1285.149521
2003/5/19,1283.539713
2003/6/19,1285.603185
2003/7/19,1285.050079
2003/8/19,1296.573175
2003/11/19,1292.548098
2003/12/19,1296.875633
3/13/19,1306.838468
3/14/19,1295.366719
3/15/19,1303.367087
3/18/19,1305.480503
3/19/19,1307.593878
3/20/19,1303.568966
3/21/19,1309.506103
3/22/19,1311.216875
3/25/19,1319.518487
3/26/19,1316.248287
3/27/19,1309.607309
3/28/19,1294.967081
3/29/19,1295.218915
2004/1/19,1293.30743
2004/2/19,1290.087944
2004/3/19,1290.239198
2004/4/19,1282.89453
2004/5/19,1288.227538
2004/8/19,1299.848848
2004/9/19,1302.867485
2004/10/19,1305.332695
2004/11/19,1298.642202
2004/12/19,1294.114962
4/15/19,1285.4125
4/16/19,1276.05624
4/17/19,1275.553647
4/18/19,1275.403187
4/23/19,1269.166061
4/24/19,1271.329576
4/25/19,1280.535347
4/26/19,1283.956259
4/29/19,1279.228313
4/30/19,1282.045564
2005/1/19,1283.554955
2005/2/19,1270.628261
2005/3/19,1278.274251
2005/7/19,1280.940508
2005/8/19,1284.964776
2005/9/19,1285.870492
2005/10/19,1286.876786
5/13/19,1295.427637
5/14/19,1298.24451
5/15/19,1298.948889
5/16/19,1291.505325
5/17/19,1280.541211
5/20/19,1276.568289
5/21/19,1270.835125
5/22/19,1273.501176
5/23/19,1283.409471
5/24/19,1282.253079
5/28/19,1278.028843
5/29/19,1281.39883
5/30/19,1280.695109
5/31/19,1295.380612
2006/3/19,1318.384299
2006/4/19,1324.710083
2006/5/19,1335.827112
2006/6/19,1335.59195
2006/7/19,1341.08344
2006/10/19,1327.840963
2006/11/19,1324.014499
2006/12/19,1332.917673
6/13/19,1336.197082
6/14/19,1352.429348
6/17/19,1340.76827
6/18/19,1341.447574
6/19/19,1344.328959
6/20/19,1382.115903
6/21/19,1398.932541
6/24/19,1406.844418
6/25/19,1434.205993
6/26/19,1402.518057
6/27/19,1402.835579
6/28/19,1409.911121
2007/1/19,1389.233465
2007/2/19,1391.480318
2007/3/19,1415.44557
2007/4/19,1415.490848
2007/5/19,1387.327176
2007/8/19,1401.163931
2007/9/19,1391.925596
2007/10/19,1408.768908
2007/11/19,1414.248741
2007/12/19,1408.063687
7/15/19,1412.889819
7/16/19,1410.32493
7/17/19,1410.827051
7/18/19,1417.965833
7/19/19,1440.338558
7/22/19,1428.321468
7/23/19,1426.108506
7/24/19,1427.51547
7/25/19,1416.604828
7/26/19,1420.927824
7/29/19,1419.56967
7/30/19,1426.456593
7/31/19,1428.114883
2008/1/19,1407.250411
2008/2/19,1442.39104
2008/5/19,1466.018579
2008/6/19,1466.017531
2008/7/19,1507.038828
2008/8/19,1496.681429
2008/9/19,1498.640761
2008/12/19,1505.677476
8/13/19,1499.342005
8/14/19,1514.27111
8/15/19,1516.682703
8/16/19,1516.27915
8/19/19,1497.527224
8/20/19,1505.518775
8/21/19,1504.210484
8/22/19,1503.002752
8/23/19,1504.760858
8/27/19,1534.065663
8/28/19,1538.286631
8/29/19,1541.351402
8/30/19,1529.486933
2009/2/19,1527.022437
2009/3/19,1538.984309
2009/4/19,1547.276627
2009/5/19,1530.184881
2009/6/19,1524.754834
2009/9/19,1510.17672
2009/10/19,1499.167569
2009/11/19,1491.526253
2009/12/19,1516.20448
9/13/19,1504.039474
9/16/19,1498.107227
9/17/19,1503.031759
9/18/19,1504.437877
9/19/19,1501.62199
9/20/19,1502.827059
9/23/19,1523.131332
9/24/19,1521.672425
9/25/19,1529.813281
9/26/19,1507.345644
9/27/19,1490.758701
9/30/19,1486.133722
2010/1/19,1474.221244
2010/2/19,1493.46934
2010/3/19,1518.094832
2010/4/19,1500.050903
2010/7/19,1502.160567
2010/8/19,1506.783076
2010/9/19,1508.189075
2010/10/19,1495.673941
2010/11/19,1479.942564
10/14/19,1491.450192
10/15/19,1488.634783
10/16/19,1485.919923
10/17/19,1493.507398
10/18/19,1490.842803
10/21/19,1492.500127
10/22/19,1486.167027
10/23/19,1495.312183
10/24/19,1497.421736
10/25/19,1514.406203
10/28/19,1493.248546
10/29/19,1487.568939
10/30/19,1492.944893
10/31/19,1511.888791
2011/1/19,1509.726792
2011/4/19,1510.378894
2011/5/19,1489.774843
2011/6/19,1486.859273
2011/7/19,1485.049249
2011/8/19,1464.84775
2011/11/19,1459.369663
2011/12/19,1452.685661
11/13/19,1463.588917
11/14/19,1467.356716
11/15/19,1467.607081
11/18/19,1468.359926
11/19/19,1469.163011
11/20/19,1472.428218
11/21/19,1467.754326
11/22/19,1465.140617
11/25/19,1459.059926
11/26/19,1455.29064
11/27/19,1454.988376
11/28/19,1455.289066
11/29/19,1460.815276
2012/2/19,1461.819363
2012/3/19,1478.047613
2012/4/19,1475.835941
2012/5/19,1476.689194
2012/6/19,1460.30878
2012/9/19,1462.367966
2012/10/19,1465.632968
2012/11/19,1467.49113
2012/12/19,1468.495146
12/13/19,1467.288485
12/16/19,1478.642373
12/17/19,1476.531318
12/18/19,1474.771981
12/19/19,1477.433896
12/20/19,1479.744096
12/23/19,1482.858123
12/24/19,1497.627885
12/27/19,1512.397479
12/30/19,1515.66199
12/31/19,1521.865479
2001/2/20,1528.0689
2001/3/20,1549.821207
2001/6/20,1574.286158
2001/7/20,1569.009714
2001/8/20,1573.127857
